148
./saves/copytask/RNN/HS_128_NL_modrelu_lr_0.0002_BS_10_rinit_henaff_iinit_xavier_decay_0_alpha_0.99/400/
Copy task
RNN
Cuda: False
modrelu
128
Update 172, Time for Update: 0.1485297679901123 , Average Loss: 0.08354867249727249, Accuracy: 0.28
Update 173, Time for Update: 0.1499941349029541 , Average Loss: 0.08665299415588379, Accuracy: 0.17
Update 174, Time for Update: 0.14816570281982422 , Average Loss: 0.08469975739717484, Accuracy: 0.23
Update 175, Time for Update: 0.15092158317565918 , Average Loss: 0.0811132937669754, Accuracy: 0.23
Update 176, Time for Update: 0.15895724296569824 , Average Loss: 0.08113463222980499, Accuracy: 0.23
Update 177, Time for Update: 0.3628263473510742 , Average Loss: 0.08068837225437164, Accuracy: 0.27
Update 178, Time for Update: 0.4012303352355957 , Average Loss: 0.07872982323169708, Accuracy: 0.1
Update 179, Time for Update: 0.32667064666748047 , Average Loss: 0.07217942923307419, Accuracy: 0.3
Update 180, Time for Update: 0.59478759765625 , Average Loss: 0.06827237457036972, Accuracy: 0.31
Update 181, Time for Update: 0.22155141830444336 , Average Loss: 0.07016408443450928, Accuracy: 0.24
Update 182, Time for Update: 0.1529221534729004 , Average Loss: 0.06353137642145157, Accuracy: 0.27
Update 183, Time for Update: 0.15007948875427246 , Average Loss: 0.06506031006574631, Accuracy: 0.31
Update 184, Time for Update: 0.1664736270904541 , Average Loss: 0.06596072763204575, Accuracy: 0.31
Update 185, Time for Update: 0.1478884220123291 , Average Loss: 0.05824480205774307, Accuracy: 0.26
Update 186, Time for Update: 0.15090155601501465 , Average Loss: 0.06512400507926941, Accuracy: 0.31
Update 187, Time for Update: 0.1665515899658203 , Average Loss: 0.0628066211938858, Accuracy: 0.37
Update 188, Time for Update: 0.16309142112731934 , Average Loss: 0.07037094235420227, Accuracy: 0.2
Update 189, Time for Update: 0.1585063934326172 , Average Loss: 0.06530744582414627, Accuracy: 0.26
Update 190, Time for Update: 0.15981054306030273 , Average Loss: 0.06324802339076996, Accuracy: 0.31
Update 191, Time for Update: 0.16530513763427734 , Average Loss: 0.06598962098360062, Accuracy: 0.28
Update 192, Time for Update: 0.16478538513183594 , Average Loss: 0.06156359985470772, Accuracy: 0.31
Update 193, Time for Update: 0.1487741470336914 , Average Loss: 0.060536276549100876, Accuracy: 0.24
Update 194, Time for Update: 0.16476106643676758 , Average Loss: 0.05670300871133804, Accuracy: 0.35
Update 195, Time for Update: 0.14565181732177734 , Average Loss: 0.06201716512441635, Accuracy: 0.24
Update 196, Time for Update: 0.16718816757202148 , Average Loss: 0.05791840702295303, Accuracy: 0.35
Update 197, Time for Update: 0.14742684364318848 , Average Loss: 0.0633116364479065, Accuracy: 0.22
Update 198, Time for Update: 0.14676356315612793 , Average Loss: 0.05649281665682793, Accuracy: 0.29
Update 199, Time for Update: 0.15463018417358398 , Average Loss: 0.06267044693231583, Accuracy: 0.24
Update 200, Time for Update: 0.14824247360229492 , Average Loss: 0.05746717378497124, Accuracy: 0.32
Update 201, Time for Update: 0.14316391944885254 , Average Loss: 0.06507116556167603, Accuracy: 0.31
